object_id,id,name,drs_uri,type
574bdfc4b6507a1636bac75a037ca2589c5f54cad10fa519e0e65be7ea43f75683e4768bd3c989bc9acbe39aa1101a6895afb6693cac79575ee2212e87cdea75,355de28f27841b0a1ee9beedf9880773e41ea7751ebb875b5645dc78d994b006d0e7a74b68b8cb35643f81f0cca47a81bf66f7947fab01d240f56bcb8cb880f3,hipsci,,f
574bdfc4b6507a1636bac75a037ca2589c5f54cad10fa519e0e65be7ea43f75683e4768bd3c989bc9acbe39aa1101a6895afb6693cac79575ee2212e87cdea75,387184c4da57d9718e8fbe4cb81331ba820e580799ff8c4f0785a03987b2d6fd8cb241ff0471d29bf9118b005f38da32ac49f942049c94135ffeef10d0306e5c,robots.txt,,f
574bdfc4b6507a1636bac75a037ca2589c5f54cad10fa519e0e65be7ea43f75683e4768bd3c989bc9acbe39aa1101a6895afb6693cac79575ee2212e87cdea75,54337de1b6d7645a2650d5a8549471eaa1efef8971e1f36a68d22d1183566de425db61db6f206a59354d65562f96ff5f4015b115b64905ebbf0509cb431e4d9d,ensemblgenomes,,f
574bdfc4b6507a1636bac75a037ca2589c5f54cad10fa519e0e65be7ea43f75683e4768bd3c989bc9acbe39aa1101a6895afb6693cac79575ee2212e87cdea75,546aa387da4755a81372bde67a37e33dbafc8550e6a1991c498fb91c30fb1a3314a08be0c9934e70f43432710283b1c448873cb1a52b2fe09ea6470c17f7b0f5,1000g,,f
574bdfc4b6507a1636bac75a037ca2589c5f54cad10fa519e0e65be7ea43f75683e4768bd3c989bc9acbe39aa1101a6895afb6693cac79575ee2212e87cdea75,56dc112777d4aa108c5461766ebe7a0b349abda67e93e3373400f9f7bf09ccff1c815383096c51f0c86be2cb39b22023bca29374a239b30887aa06ac5a7229b9,biostudies-test,,f
574bdfc4b6507a1636bac75a037ca2589c5f54cad10fa519e0e65be7ea43f75683e4768bd3c989bc9acbe39aa1101a6895afb6693cac79575ee2212e87cdea75,82a8dfe38e6d0c852a948e494abb1a558c31ec0832f85cc05bdc565bac37a63e05d3f36096b5441027115cb142e2427d0eade8f53c7f17d7f48e471b6917e96f,era-pub,,f
574bdfc4b6507a1636bac75a037ca2589c5f54cad10fa519e0e65be7ea43f75683e4768bd3c989bc9acbe39aa1101a6895afb6693cac79575ee2212e87cdea75,8e3076a3c07859bc7efec11aafbaaa92bb30b615cfdf0affa792ef5fdbbffb0420cae4cd85d54cd1745a2d77075ad8130fe274cbac01abd475478ea77e6a15c2,pride,,f
574bdfc4b6507a1636bac75a037ca2589c5f54cad10fa519e0e65be7ea43f75683e4768bd3c989bc9acbe39aa1101a6895afb6693cac79575ee2212e87cdea75,90a49c18a568af3b5cfd785e7a541c3c541ba93d441d061ee33ad92bef48f6b702039cc670ed1670f98c0cbae1b7a316a252a6cf6b2e122bf701c1ad98fdfe4e,biostudies,,f
574bdfc4b6507a1636bac75a037ca2589c5f54cad10fa519e0e65be7ea43f75683e4768bd3c989bc9acbe39aa1101a6895afb6693cac79575ee2212e87cdea75,920a878791dba5823a77901c8b6ab497444d1e2509b93a580a0dc76716fc13067199b39cf95bc566972d0550e71156f7839b833119c38d0bea3ba7fbebbb461e,ensemblorg,,f
574bdfc4b6507a1636bac75a037ca2589c5f54cad10fa519e0e65be7ea43f75683e4768bd3c989bc9acbe39aa1101a6895afb6693cac79575ee2212e87cdea75,937f031e647b52ef94781ad91a7c877b92b2221ac225f944236e68269d631adf24c14af2c28bcb164c60edb985652618da2d5e1dd59f67f5bb06fc70122f2d2a,empiar,,f
574bdfc4b6507a1636bac75a037ca2589c5f54cad10fa519e0e65be7ea43f75683e4768bd3c989bc9acbe39aa1101a6895afb6693cac79575ee2212e87cdea75,a489fe898d10b81fd1f983428a7d5ac7aa7e4ffd42bf2f64a77338e93ebea2690686e42af69c5723e527b6b4e773d237db7f97d73f007677d233d4b74970cf40,vol1,,f
574bdfc4b6507a1636bac75a037ca2589c5f54cad10fa519e0e65be7ea43f75683e4768bd3c989bc9acbe39aa1101a6895afb6693cac79575ee2212e87cdea75,a52ea8bcbadc2b908abde3670acebc012b79ee99f7dddebade4de473bd13659791dad5cace991f01a892fa41a095314bab3cf0d2296845d77017c482fa075a12,pub,,f
574bdfc4b6507a1636bac75a037ca2589c5f54cad10fa519e0e65be7ea43f75683e4768bd3c989bc9acbe39aa1101a6895afb6693cac79575ee2212e87cdea75,db55ac07525adfc5504f4a561ba163a6aa8268434925c02dc671172028531ecdc8a3b6c5cb5439459309b2fa2edb3487ebaab967efe23571491242aa92eb68c0,faang,,f
215c42f59a30a11320ccfaad061b6a022b5030e585ea596bc81e9099f253a746e070f23bf0ba398e95fdaf719fc6c12c3329c7974d36afcf4543313e1ea7e321,14c2d244546cb232d8274a984415bb1e98db9da29bb18f8fdd83a3dfb59372562f8edec089d88543642286216182792568033e0b0597c9b2e8798937a86f23ba,1000g,,f
215c42f59a30a11320ccfaad061b6a022b5030e585ea596bc81e9099f253a746e070f23bf0ba398e95fdaf719fc6c12c3329c7974d36afcf4543313e1ea7e321,1cf7bfdbfe8441fd19144ea5f23513d3a3a47270401703bd1fb0e592ebf98d659004c63413e708c81267c5468a1aa4c387d871862805c090f489826435960c8d,1000g-archive,,f
